destination_path	purpose	validation_status	notes
README.md	article-oriented project overview	PASS	contains required design, results, and guardrails
.gitignore	exclude secrets, data, caches, and large artifacts	PASS	canonical tables and metadata remain trackable
pyproject.toml	minimal dependency metadata	PASS	parsed with Python tomllib; exact versions unresolved
docs/hypothesis_verdict.md	missing canonical verdict placeholder	PARTIAL	source absent; mandated TODO only
docs/fixed_model_report_ru.md	missing Russian report placeholder	PARTIAL	source absent; TODO only
docs/legacy_results.md	legacy interpretation boundary	PASS	generated from requested text
docs/data_and_cohorts.md	data lineage and cohort documentation	PASS	includes unknown-code TODO
docs/reproduction.md	reproduction instructions	PARTIAL	exact versions and Git identity unavailable
results/README.md	result-file roles and storage policy	PASS	primary and sensitivity outputs distinguished
tests/test_budget_selection.py	scientific invariant skeleton	PARTIAL	intentionally skipped pending refactor
tests/test_bootstrap_pairing.py	scientific invariant skeleton	PARTIAL	intentionally skipped pending refactor
tests/test_care_entry_groups.py	scientific invariant skeleton	PARTIAL	intentionally skipped pending refactor
tests/test_no_temporal_leakage.py	scientific invariant skeleton	PARTIAL	intentionally skipped pending refactor
tests/test_calibration_ranking.py	scientific invariant skeleton	PARTIAL	intentionally skipped pending refactor
tests/test_result_integrity.py	scientific invariant skeleton	PARTIAL	intentionally skipped pending fixture
repo_migration/COPIED_FILES.tsv	copy provenance	PASS	29 copied inputs, one transformed
repo_migration/GENERATED_FILES.tsv	generated-file inventory	PASS	self-recorded
repo_migration/MISSING_FILES.md	missing and unresolved inventory	PASS	four unresolved items
repo_migration/EXCLUDED_FILES.md	exclusion inventory	PASS	17 explicitly enumerated files plus categories
repo_migration/VALIDATION_REPORT.md	validation evidence	PASS	records PASS, PARTIAL, and NOT RUN honestly
repo_migration/SHA256SUMS.txt	publication file hashes	PASS	excludes itself
repo_migration/MIGRATION_REPORT.md	migration handoff	PASS	includes Git options without executing either
